,zipcode_of_incident,date_rec,dow_rec,hour_rec,col,dens,houses,pop,unit_0_freq,unit_1_freq,unit_2_freq,unit_3_freq,unit_4_freq,unit_5_freq,unit_6_freq,unit_7_freq,unit_8_freq,unit_type
0,94121,24,2,17,163.0,14061,19311,43332,17,78,0,66,21,9,2,3,18,3
1,94103,24,2,7,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
2,94122,24,2,2,156.3,26616,24615,62918,26,132,0,93,30,9,5,0,29,1
3,94109,24,2,20,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,1
4,94107,24,2,20,152.7,16634,15569,29805,33,137,0,128,34,6,6,0,43,0
5,94110,24,2,21,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,1
6,94102,24,2,12,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,1
7,94103,24,2,19,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
8,94133,24,2,22,178.0,36931,14941,27885,34,140,1,84,51,8,5,4,39,1
9,94134,24,2,10,155.2,17616,12699,42274,14,81,1,100,25,12,3,0,14,3
10,94102,24,2,12,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,3
11,94111,24,2,14,158.4,10116,2626,3481,13,75,0,54,20,7,2,6,19,3
12,94114,24,2,17,156.5,23843,18228,33984,34,137,0,117,43,11,4,0,34,1
13,94103,24,2,16,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,4
14,94110,24,2,19,155.3,32066,30262,74565,58,276,2,279,81,21,15,0,64,3
15,94109,24,2,0,161.6,47834,37688,56822,48,280,0,229,134,10,6,0,81,6
16,94103,24,2,12,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,1
17,94131,24,2,14,157.2,13828,13952,28756,16,72,0,71,16,10,3,0,17,1
18,94117,24,2,21,156.4,26041,20017,43944,36,153,0,104,47,7,6,1,44,3
19,94102,24,2,12,181.8,44330,19561,29739,93,472,1,404,174,25,21,1,156,8
20,94103,24,2,14,167.8,19259,15685,26116,55,377,3,402,154,25,47,0,90,3
